symbol,path,sha256,registered_sha256,hash_match,close_time_count
MANA,data\research\rd07\binance-spot-4h\MANAUSDT-4h-2021-2024.parquet,8dec9d317e6df0278e8be2a370fa69feb0bc13e0a11bf19d225ec6efba3ad63f,8dec9d317e6df0278e8be2a370fa69feb0bc13e0a11bf19d225ec6efba3ad63f,True,8766
MATIC,data\research\rd07\binance-spot-4h\MATICUSDT-4h-2021-2024.parquet,bce35977031e5a637d5d73b0f58bf36d4cd74a54c0b72001cc21710fd11e3ed2,bce35977031e5a637d5d73b0f58bf36d4cd74a54c0b72001cc21710fd11e3ed2,True,8089
NEO,data\research\rd07\binance-spot-4h\NEOUSDT-4h-2021-2024.parquet,7269a6a967992bc679849528bff54d2b4b39dfc45750210a7e3c75bf83ced70a,7269a6a967992bc679849528bff54d2b4b39dfc45750210a7e3c75bf83ced70a,True,8766
PAXG,data\research\rd07\binance-spot-4h\PAXGUSDT-4h-2021-2024.parquet,6b60ceec3973e43a0006539a9a3edf567995364e207e314ca4b6cff0efe392ce,6b60ceec3973e43a0006539a9a3edf567995364e207e314ca4b6cff0efe392ce,True,8766
QNT,data\research\rd07\binance-spot-4h\QNTUSDT-4h-2021-2024.parquet,dd86d44670f06d338565cfb0c5519d518ce86671c65a2b6f5599630d0976e1f4,dd86d44670f06d338565cfb0c5519d518ce86671c65a2b6f5599630d0976e1f4,True,7511
SHIB,data\research\rd07\binance-spot-4h\SHIBUSDT-4h-2021-2024.parquet,b7ff63217b982d26bf3bfb0a3ce0f2f5d57e18c0e83c038beff9c936835850d7,b7ff63217b982d26bf3bfb0a3ce0f2f5d57e18c0e83c038beff9c936835850d7,True,7990
SNX,data\research\rd07\binance-spot-4h\SNXUSDT-4h-2021-2024.parquet,20ded71019314db9dc40e3ebb9668ebbad47cd6619e571ca1649864f60a814a8,20ded71019314db9dc40e3ebb9668ebbad47cd6619e571ca1649864f60a814a8,True,8766
SUSHI,data\research\rd07\binance-spot-4h\SUSHIUSDT-4h-2021-2024.parquet,a3c8529f15cc7e97a50f0de07142714bed32d228ac4fc5f3e82591665787263c,a3c8529f15cc7e97a50f0de07142714bed32d228ac4fc5f3e82591665787263c,True,8766
UMA,data\research\rd07\binance-spot-4h\UMAUSDT-4h-2021-2024.parquet,48b0b1736e0c2e456b717c3a8d4ddd791d5618db807e72c44afb18919d3570eb,48b0b1736e0c2e456b717c3a8d4ddd791d5618db807e72c44afb18919d3570eb,True,8766
UNI,data\research\rd07\binance-spot-4h\UNIUSDT-4h-2021-2024.parquet,6edc32326dc0b31c467cf2c48870e195761f32a825a0b8e622caead8d3cbce2e,6edc32326dc0b31c467cf2c48870e195761f32a825a0b8e622caead8d3cbce2e,True,8766
XLM,data\research\rd07\binance-spot-4h\XLMUSDT-4h-2021-2024.parquet,7a8f62ab11c47e8ee6ad5f91befb2ce176227a5362350c756052717b7d542152,7a8f62ab11c47e8ee6ad5f91befb2ce176227a5362350c756052717b7d542152,True,8766
XMR,data\research\rd07\binance-spot-4h\XMRUSDT-4h-2021-2024.parquet,15e8e39ed32ed15f145ab1c38ebe17e405e1235554988ab2860c36a80df9303b,15e8e39ed32ed15f145ab1c38ebe17e405e1235554988ab2860c36a80df9303b,True,6871
XRP,data\research\rd07\binance-spot-4h\XRPUSDT-4h-2021-2024.parquet,ef3bab1fa3e87db1e65ae98a1123f1af63c2a9704750a07216689a30a14ed075,ef3bab1fa3e87db1e65ae98a1123f1af63c2a9704750a07216689a30a14ed075,True,8766
XTZ,data\research\rd07\binance-spot-4h\XTZUSDT-4h-2021-2024.parquet,cf565fd7b8114c6dd20a8bcf72c28291471adc5ac239a5aea6b7a7f4f6642292,cf565fd7b8114c6dd20a8bcf72c28291471adc5ac239a5aea6b7a7f4f6642292,True,8766
ZEC,data\research\rd07\binance-spot-4h\ZECUSDT-4h-2021-2024.parquet,b438082459f1e3ea5b1b245b3f281b5e7f7a25634cf96d3e219047960131da31,b438082459f1e3ea5b1b245b3f281b5e7f7a25634cf96d3e219047960131da31,True,8766
ZRX,data\research\rd07\binance-spot-4h\ZRXUSDT-4h-2021-2024.parquet,4865b2cb7f98b620918d5bb4913fb926c61ed2e0e89c4f46e35f35fe0e5f9756,4865b2cb7f98b620918d5bb4913fb926c61ed2e0e89c4f46e35f35fe0e5f9756,True,8766
